symbol,short_name,regular_market_price,regular_market_time,ask,ask_size,average_daily_volume_10_day,average_daily_volume_3_month,bid,bid_size,currency_id,exchange_id,exchange_timezone_name,exchange_timezone_short_name,fifty_day_average,fifty_day_average_change,fifty_day_average_change_percent,fifty_two_week_high,fifty_two_week_high_change,fifty_two_week_high_change_percent,fifty_two_week_low,fifty_two_week_low_change,fifty_two_week_low_change_percent,full_exchange_name,gmt_offset_milliseconds,is_tradeable,market_id,market_state,post_market_change,post_market_change_percent,post_market_price,post_market_time,pre_market_change,pre_market_change_percent,pre_market_price,pre_market_time,quote_delay,quote_source,quote_type,regular_market_change,regular_market_change_percent,regular_market_day_high,regular_market_day_low,regular_market_open,regular_market_previous_close,regular_market_volume,source_interval,two_hundred_day_average,two_hundred_day_average_change,two_hundred_day_average_change_percent,change
ESCORTS.NS,ESCORTS,1204.7,2021-07-05 07:34:51,1203,0,1456955,1529687,1203.4,0,INR,NSI,Asia/Kolkata,IST,1181.7428,22.957153,0.019426523,1468.45,-263.75,-0.17961116,1052.25,152.44995,0.14487997,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,1.75,0.1454757,1214.35,1202.4,1207,1202.95,265998,15,1256.8232,-52.12329,-0.041472252,17.961115461881576
EUROMULTI.NS,EURO MULTIVISION L,1.3,2021-07-05 07:19:00,0,0,215,1575,0,0,INR,NSI,Asia/Kolkata,IST,1.1,0.19999993,0.18181811,2.7,-1.4000001,-0.51851857,0.75,0.54999995,0.7333333,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0.049999952,3.9999962,1.3,1.2,1.25,1.25,20014,15,1.2901409,0.009859085,0.0076418673,51.85185185185185
EUROTEXIND.NS,EUROTEX INDUSTRIES,8.25,2021-07-05 05:44:57,0,0,169,323,8.25,0,INR,NSI,Asia/Kolkata,IST,7.6714287,0.5785713,0.07541898,10.1,-1.8500004,-0.18316835,6.65,1.5999999,0.24060148,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0.3499999,4.4303784,8.25,8.25,7.9,7.9,500,15,7.8010564,0.44894361,0.057549078,18.316831683168314
EXIDEIND.NS,EXIDE INDUSTRIES,183.75,2021-07-05 07:34:55,182.4,0,1616817,2992401,182.3,0,INR,NSI,Asia/Kolkata,IST,188.59572,-4.8457184,-0.025693681,219.3,-35.550003,-0.16210671,150.4,33.350006,0.22174206,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,1.300003,0.71252567,184.4,183,182.75,182.45,1045535,15,191.68239,-7.9323883,-0.04138298,16.210670314637486
FLFL.NS,FUTURE LIFESTYLE F,74.85,2021-07-05 07:29:23,75.2,0,192142,265015,75.15,0,INR,NSI,Asia/Kolkata,IST,66.41857,8.431427,0.12694381,160.4,-85.549995,-0.5333541,46.5,28.349998,0.6096774,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-0.40000153,-0.53156346,76,74,75.1,75.25,77192,15,71.67887,3.1711273,0.044240754,53.335411471321706
FMNL.NS,FUTURE MKT NETWORK,19.4,2021-07-05 07:33:25,19.25,0,170205,86240,19.2,0,INR,NSI,Asia/Kolkata,IST,16.82,2.58,0.15338883,29.3,-9.9,-0.33788395,11.55,7.8499994,0.67965364,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0.14999962,0.7792188,19.7,18.6,19.95,19.25,75043,15,16.905987,2.4940128,0.14752246,33.78839590443687
FORCEMOT.NS,FORCE MOTORS LTD,1218.15,2021-07-05 07:33:53,1215.45,0,25698,35305,1212.5,0,INR,NSI,Asia/Kolkata,IST,1218.0028,0.1472168,0.00012086737,1559.95,-341.79993,-0.21910955,880,338.15002,0.3842614,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,7.3499756,0.6070346,1233,1211,1226.35,1210.8,12536,15,1264.2595,-46.109497,-0.036471546,21.910958684573217
FRETAIL.NS,FUTURE RETAIL LTD,65.45,2021-07-05 07:34:37,65.75,0,2183128,3884510,65.65,0,INR,NSI,Asia/Kolkata,IST,56.607143,8.842854,0.15621445,167.9,-102.45,-0.6101846,40.55,24.899998,0.61405665,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-0.25,-0.3805175,66.45,65,65,65.7,797071,15,62.727818,2.7221794,0.043396685,61.018463371054196
FSC.NS,FUTURE SUPPLY CHAI,91.2,2021-07-05 07:30:40,94.3,0,48571,120441,94,0,INR,NSI,Asia/Kolkata,IST,87.68,3.5199966,0.04014595,222,-130.8,-0.58918923,60.05,31.149998,0.51873434,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-2.9500046,-3.1333027,95.2,91,95.4,94.15,20181,15,88.57817,2.6218262,0.029599011,58.918918918918926
GAYAPROJ.NS,GAYATRI PROJECTS,30.2,2021-07-05 07:34:41,31.8,0,767548,1366486,31.75,0,INR,NSI,Asia/Kolkata,IST,33.665714,-3.4657135,-0.102944896,48.65,-18.45,-0.37923947,14.25,15.950001,1.1192983,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-1.75,-5.4773083,30.85,30,32.5,31.95,1939191,15,35.76197,-5.5619698,-0.1555275,37.92394655704008
GENCON.NS,Generic Eng Cons Proj Ltd,48.3,2021-07-05 07:32:12,46.1,0,29346,23676,46.05,0,INR,NSI,Asia/Kolkata,IST,45.33286,2.9671402,0.06545231,68,-19.7,-0.2897059,41.1,7.200001,0.1751825,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,2.1499977,4.6587167,49.5,46.3,48.3,46.15,131464,15,47.435352,0.8646469,0.018227901,28.97058823529412
