SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,TICKER,,,,,,,,,,,,,,,,,
ASTRAL,Astral Limited,EQ,20-Mar-2007,1,1,INE006I01046,1,"'ASTRAL.NS',",,,,,,,,,,,,,,,,,
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-Nov-2004,2,1,INE386C01029,2,"'ASTRAMICRO.NS',",,,,,,,,,,,,,,,,,
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-May-2001,2,1,INE203A01020,2,"'ASTRAZEN.NS',",,,,,,,,,,,,,,,,,
ASTRON,Astron Paper & Board Mill Limited,EQ,29-Dec-2017,10,1,INE646X01014,10,"'ASTRON.NS',",,,,,,,,,,,,,,,,,
ATFL,Agro Tech Foods Limited,EQ,06-Dec-2002,10,1,INE209A01019,10,"'ATFL.NS',",,,,,,,,,,,,,,,,,
ATGL,Adani Total Gas Limited,EQ,05-Nov-2018,1,1,INE399L01023,1,"'ATGL.NS',",,,,,,,,,,,,,,,,,
ATLANTA,Atlanta Limited,EQ,25-Sep-2006,2,1,INE285H01022,2,"'ATLANTA.NS',",,,,,,,,,,,,,,,,,
ATLASCYCLE,Atlas Cycles (Haryana) Limited,BZ,23-Oct-1996,5,1,INE446A01025,5,"'ATLASCYCLE.NS',",,,,,,,,,,,,,,,,,
ATNINTER,ATN International Limited,BE,01-Sep-2006,4,1,INE803A01027,4,"'ATNINTER.NS',",,,,,,,,,,,,,,,,,
ATUL,Atul Limited,EQ,06-May-1998,10,1,INE100A01010,10,"'ATUL.NS',",,,,,,,,,,,,,,,,,
ATULAUTO,Atul Auto Limited,EQ,26-Jun-2013,5,1,INE951D01028,5,"'ATULAUTO.NS',",,,,,,,,,,,,,,,,,
AUBANK,AU Small Finance Bank Limited,EQ,10-Jul-2017,10,1,INE949L01017,10,"'AUBANK.NS',",,,,,,,,,,,,,,,,,
AURIONPRO,Aurionpro Solutions Limited,EQ,25-Oct-2005,10,1,INE132H01018,10,"'AURIONPRO.NS',",,,,,,,,,,,,,,,,,
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-Jul-2000,1,1,INE406A01037,1,"'AUROPHARMA.NS',",,,,,,,,,,,,,,,,,
AUSOMENT,Ausom Enterprise Limited,EQ,17-Apr-1996,10,1,INE218C01016,10,"'AUSOMENT.NS',",,,,,,,,,,,,,,,,,
AUTOAXLES,Automotive Axles Limited,EQ,29-May-2003,10,1,INE449A01011,10,"'AUTOAXLES.NS',",,,,,,,,,,,,,,,,,
AUTOIND,Autoline Industries Limited,EQ,31-Jan-2007,10,1,INE718H01014,10,"'AUTOIND.NS',",,,,,,,,,,,,,,,,,
AUTOLITIND,Autolite (India) Limited,BZ,31-May-1995,10,1,INE448A01013,10,"'AUTOLITIND.NS',",,,,,,,,,,,,,,,,,
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-Jul-2017,10,1,INE349W01017,10,"'AVADHSUGAR.NS',",,,,,,,,,,,,,,,,,
AVANTIFEED,Avanti Feeds Limited,EQ,15-Apr-2015,1,1,INE871C01038,1,"'AVANTIFEED.NS',",,,,,,,,,,,,,,,,,
AVTNPL,AVT Natural Products Limited,EQ,10-Jan-2007,1,1,INE488D01021,1,"'AVTNPL.NS',",,,,,,,,,,,,,,,,,
AWHCL,Antony Waste Handling Cell Limited,EQ,01-Jan-2021,5,1,INE01BK01022,5,"'AWHCL.NS',",,,,,,,,,,,,,,,,,
AXISBANK,Axis Bank Limited,EQ,16-Nov-1998,2,1,INE238A01034,2,"'AXISBANK.NS',",,,,,,,,,,,,,,,,,
